ringno_season,yday,yday200,pfmg,sex
CV69795_2018-2019,52,217,1,male
CV69803_2018-2019,54,219,0.9405,male
CV56184_2009-2010,145,310,1,male
CC09256_2019-2020,338,138,1,male
CV56900_2010-2011,29,194,0.9421250000000001,male
CV09617_2007-2008,138,303,1,male
CV65135_2016-2017,42,207,1,male
CV56209_2009-2010,147,312,1,male
CV69959_2018-2019,59,224,0.8696250000000001,male
CV15021_2018-2019,54,219,0.7041250000000001,male
CV56931_2010-2011,29,194,0.563875,male
CV09629_2007-2008,144,309,1,male
CV69779_2018-2019,16,181,0.2965,male
CV56039_2009-2010,84,249,1,male
CV56934_2010-2011,29,194,0.24650000000000002,male
CV69920_2018-2019,56,221,1,male
CC46265_2019-2020,346,146,0.18512499999999998,male
CV69924_2018-2019,56,221,0.863125,male
CV69775_2018-2019,13,178,0.563875,male
CV43315_2007-2008,93,258,0.9845,male
CV56212_2009-2010,151,316,1,male
CV69686_2018-2019,314,114,1,male
CV56956_2010-2011,51,216,0.518875,male
CV56068_2009-2010,84,249,0.911125,male
CV69757_2018-2019,13,178,0.431375,male
CV43052_2009-2010,23,188,0.832125,male
CV56076_2009-2010,84,249,0.8935000000000001,male
CV56094_2009-2010,103,268,0.9845,male
CV56167_2009-2010,145,310,1,male
CV11252_2011-2012,56,221,1,male
CV56168_2009-2010,145,310,1,male
CC46113_2019-2020,339,139,0.042625,male
CV56174_2009-2010,145,310,1,male
CV56214_2009-2010,151,316,1,male
CC40212_2019-2020,346,146,0.40287500000000004,male
CV56173_2009-2010,145,310,1,male
CV56653_2019-2020,339,139,0.44425,male
CV69754_2018-2019,13,178,0.518875,male
CV58592_2012-2013,54,219,0.904875,male
CV58680_2013-2014,172,337,1,male
CV56514_2010-2011,267,67,1,male
CC46236_2019-2020,346,146,0.40287500000000004,male
CV15022_2018-2019,54,219,0.9245,male
CV69997_2018-2019,61,226,1,male
CV69858_2018-2019,61,226,0.898375,male
CV69939_2018-2019,57,222,1,male
CV68131_2016-2017,42,207,0.7673749999999999,male
CV69943_2018-2019,57,222,1,male
CV46929_2008-2009,72,237,0.815,male
CV53948_2009-2010,49,214,0.9535000000000001,male
CV68061_2016-2017,317,117,0.2965,male
CV68059_2016-2017,310,110,0.139625,male
CV56066_2009-2010,84,249,1,male
CV68183_2016-2017,140,305,1,male
CV43277_2007-2008,87,252,0.982875,male
CV15014_2018-2019,54,219,1,male
CV43252_2007-2008,67,232,1,male
CV69865_2018-2019,61,226,0.8951250000000001,male
CV56040_2009-2010,84,249,1,male
