ringno_season,yday,yday200,pfmg,sex
CV56206_2009-2010,147,312,1,male
CV56210_2009-2010,147,312,1,male
CV56206_2009-2010,189,354,0,male
CV56210_2009-2010,189,354,1,male
CV56175_2009-2010,193,358,0,male
CV56567_2010-2011,306,106,0.106875,male
CV56866_2010-2011,358,158,0.17400000000000002,female
CV56887_2010-2011,15,180,0,female
CV56910_2010-2011,29,194,0.19824999999999998,male
CV56887_2010-2011,92,257,0.7095,female
CV56567_2010-2011,169,334,0,male
CV56866_2010-2011,176,341,0,female
CV56910_2010-2011,176,341,0,male
CV58825_2015-2016,220,20,0,female
CV58895_2015-2016,347,147,0.042625,unknown
CV58896_2015-2016,347,147,0,unknown
CV58896_2015-2016,9,174,0.24650000000000002,unknown
CV67907_2015-2016,37,202,0.209375,male
CV58895_2015-2016,72,237,0.9845,unknown
CV58825_2015-2016,79,244,1,female
CV67907_2015-2016,177,342,1,male
CV68088_2016-2017,8,173,0.431375,male
CV68101_2016-2017,35,200,0.431375,unknown
CV68109_2016-2017,35,200,0.9845,male
CV68101_2016-2017,70,235,0.7353750000000001,unknown
CV68088_2016-2017,140,305,1,male
CV68109_2016-2017,175,340,1,male
CV68240_2017-2018,203,3,1,female
CV68240_2017-2018,231,31,1,female
CV69776_2018-2019,13,178,0.2965,unknown
CV69764_2018-2019,13,178,0.8295,male
CV69774_2018-2019,13,178,0.8935000000000001,male
CV15033_2018-2019,54,219,1,male
CV69954_2018-2019,59,224,1,female
CV69776_2018-2019,61,226,0.688125,unknown
CV69764_2018-2019,109,274,1,male
CV69774_2018-2019,109,274,1,male
CV15033_2018-2019,171,336,1,male
CV69954_2018-2019,180,345,1,female
CC46126_2019-2020,339,139,1,unknown
CC46126_2019-2020,346,146,0,unknown
